frame,timestamp
2,0.1
3,0.15
4,0.2
5,0.25
6,0.3
7,0.35
8,0.4
9,0.45
10,0.5
11,0.55
12,0.6
13,0.65
14,0.7
15,0.75
16,0.8
17,0.85
18,0.9
19,0.95
20,1.0
21,1.05
22,1.1
23,1.15
24,1.2
25,1.25
26,1.3
27,1.35
28,1.4
29,1.45
30,1.5
31,1.55
32,1.6
33,1.65
34,1.7
35,1.75
36,1.8
37,1.85
38,1.9
39,1.95
40,2.0
41,2.05
42,2.1
43,2.15
44,2.2
45,2.25
46,2.3
47,2.35
48,2.4
49,2.45
50,2.5
51,2.55
52,2.6
53,2.65
54,2.7
55,2.75
56,2.8
57,2.85
58,2.9
59,2.95
60,3.0
61,3.05
62,3.1
63,3.15
64,3.2
65,3.25
66,3.3
67,3.35
68,3.4
69,3.45
70,3.5
71,3.55
72,3.6
73,3.65
74,3.7
75,3.75
76,3.8
77,3.85
78,3.9
79,3.95
80,4.0
81,4.05
82,4.1
83,4.15
247,12.35
248,12.4
249,12.45
250,12.5
251,12.55
252,12.6
253,12.65
254,12.7
255,12.75
256,12.8
262,13.1
263,13.15
264,13.2
265,13.25
266,13.3
267,13.35
268,13.4
269,13.45
270,13.5
271,13.55
272,13.6
273,13.65
274,13.7
275,13.75
281,14.05
282,14.1
283,14.15
284,14.2
285,14.25
286,14.3
287,14.35
288,14.4
289,14.45
290,14.5
291,14.55
292,14.6
293,14.65
300,15.0
301,15.05
302,15.1
303,15.15
304,15.2
305,15.25
306,15.3
307,15.35
308,15.4
309,15.45
310,15.5
311,15.55
312,15.6
313,15.65
318,15.9
319,15.95
320,16.0
321,16.05
322,16.1
323,16.15
324,16.2
325,16.25
326,16.3
327,16.35
328,16.4
329,16.45
330,16.5
331,16.55
337,16.85
338,16.9
339,16.95
340,17.0
341,17.05
342,17.1
343,17.15
344,17.2
345,17.25
346,17.3
347,17.35
348,17.4
349,17.45
350,17.5
356,17.8
357,17.85
358,17.9
359,17.95
360,18.0
361,18.05
362,18.1
363,18.15
364,18.2
365,18.25
366,18.3
367,18.35
368,18.4
369,18.45
374,18.7
375,18.75
376,18.8
377,18.85
378,18.9
379,18.95
380,19.0
381,19.05
382,19.1
383,19.15
384,19.2
385,19.25
386,19.3
387,19.35
394,19.7
395,19.75
396,19.8
397,19.85
398,19.9
399,19.95
400,20.0
401,20.05
402,20.1
403,20.15
404,20.2
405,20.25
406,20.3
413,20.65
414,20.7
415,20.75
416,20.8
417,20.85
418,20.9
419,20.95
420,21.0
421,21.05
422,21.1
423,21.15
424,21.2
425,21.25
431,21.55
432,21.6
433,21.65
434,21.7
435,21.75
436,21.8
437,21.85
438,21.9
439,21.95
440,22.0
441,22.05
442,22.1
443,22.15
450,22.5
451,22.55
452,22.6
453,22.65
454,22.7
455,22.75
456,22.8
457,22.85
458,22.9
459,22.95
460,23.0
461,23.05
462,23.1
463,23.15
468,23.4
469,23.45
470,23.5
471,23.55
472,23.6
473,23.65
474,23.7
475,23.75
476,23.8
477,23.85
506,25.3
507,25.35
508,25.4
509,25.45
510,25.5
511,25.55
512,25.6
513,25.65
514,25.7
515,25.75
923,46.15
924,46.2
925,46.25
926,46.3
927,46.35
928,46.4
929,46.45
930,46.5
931,46.55
932,46.6
933,46.65
934,46.7
935,46.75
936,46.8
937,46.85
938,46.9
939,46.95
940,47.0
941,47.05
942,47.1
943,47.15
944,47.2
945,47.25
946,47.3
947,47.35
948,47.4
949,47.45
950,47.5
951,47.55
952,47.6
953,47.65
954,47.7
955,47.75
956,47.8
957,47.85
958,47.9
959,47.95
960,48.0
961,48.05
962,48.1
963,48.15
964,48.2
965,48.25
966,48.3
967,48.35
968,48.4
969,48.45
970,48.5
971,48.55
972,48.6
973,48.65
974,48.7
975,48.75
976,48.8
977,48.85
978,48.9
979,48.95
980,49.0
981,49.05
982,49.1
983,49.15
984,49.2
985,49.25
986,49.3
987,49.35
988,49.4
989,49.45
990,49.5
991,49.55
992,49.6
1158,57.9
1159,57.95
1160,58.0
1161,58.05
1162,58.1
1163,58.15
1164,58.2
1165,58.25
1166,58.3
1167,58.35
1430,71.5
1431,71.55
1432,71.6
1433,71.65
1434,71.7
1435,71.75
1436,71.8
1437,71.85
1438,71.9
1439,71.95
1440,72.0
1441,72.05
1442,72.1
1443,72.15
1444,72.2
